userName,score,at,content
tomi dedi,2,2023-09-02 00:27:07,"masih bagus waktu pedulilindungi,,di perbaharui..malah bikin payah ..malah bikin ribet menurutku"
Muhammad Yusuf,1,2023-09-01 23:46:37,Yaelaaahh aplikasi gini amat 🤦‍♂️😔 ngajak ribut apa gimana sih? 😡😠
Wahyu Budi prasetyo,5,2023-09-01 23:44:13,Sangat membantu
Defanda Ramadhani,2,2023-09-01 22:35:23,"Unduh sertif vaksin gagal terus, dicoba tiap hari gagal mulu, dahlah"
Steve Lie,1,2023-09-01 20:13:14,Applikasi mau masuk aja ga bisa padahal OTP benar!! Udh gitu diulang lagi malah gagal karna banyak kali mencoba masuk padahal cuma 3xan. Payah!!!!
Novita Pursanti,1,2023-09-01 19:55:34,Aplikasi nya gimana... Pdahal saya udah vaksin tp tidak muncul sertifikat vaksin nya mlh keterangan nya belum vaksin gimana ceritanya....
HAYKAL FADHILLAH,1,2023-09-01 19:26:18,Sangat tdak bergunaaaaaaa!!!!!!!!!! Jauh lebih baik dibanding aplikasi yg sebelumnya Tolongggggg!!!!!!!! Di perbaiki karena saya butuhhhhh !!!!!!!!!!!
imroatin nafa,2,2023-09-01 19:00:14,Sertifikat hilang semua
Rendi Agustian,1,2023-09-01 17:54:56,Aplikasi ampas gagal login trus
Muhammad Mikail Hasyim,1,2023-09-01 17:45:25,"Saya kehilangan hp saya,saat sudah membeli hp baru.saya ingin login ke akun saya dan dapat notifikasi dari apk ini bahwa NIK saya sudah terdaftar dan otomatis saya tidak bisa login. Saya sudah menyampaikan keluhan saya melalui whatsapp apk ini dan alhasil tidak ada proses kemajuan dari keluhan saya malah di oper².call center jga saya sudah hubungi dukcapil bilang mereka menyuruh saya untuk menghubungi dari nomor apk ini tapi apa responnya? Kalian sama sekali tidak peduli keluhan pengguna apk ini"
Arfan Bung,1,2023-09-01 17:16:20,Apk ga jelas
Mella Riska,1,2023-09-01 17:08:34,Aplikasi apaaan sertifikat vaksin tidak bisa di download
Risma rosalina Putri,1,2023-09-01 17:07:59,"ka gmna ini, aku mau lamar kerja banyak yg harus pake sertifikat vaksin, uda buka aplikasi harus masukin nomor/email, pas dimasukin connection timesout terus, yallah cape bgt udah seminggu kaya gini, kalo masukin nomor harus pake kode negara, tapi gada negara sama sekali, gmna si? ayodong Jagan mempersulit masyarakat"
Dimas Fahriji,1,2023-09-01 14:53:28,Gg
Krisna Eka,2,2023-09-01 14:00:12,Sudah vaksin booster kenapa masih belum muncul sertifikatnya mohon bantuannya fitur yg baru sekarang kurang praktis tidak seperti sebelumnya yg masih peduli lindungi
Tonang Aritonang,1,2023-09-01 06:22:47,"Gimana ini data vaksin saya hilang. Aku udah vaksin 3 booster, iya x di vaksin lagi daei vaksin 1, yang ada aku nanti kena penyakit lain. TOLONG DIKEMBALIKAN DATA SERTIFIKAT VAKSIN 1, VAKSIN 2, DAN VAKSIN 3 BOOSTER SAYA"
mery katrina,1,2023-09-01 05:52:46,Buat apa diperbarui tapi ga bisa lihat sertifikat vaksin sama sekali👎
Adit Luis,5,2023-09-01 04:43:29,wow
Andri Susanto,5,2023-09-01 00:20:35,Bagus logo nya
Surya Adi,5,2023-08-31 22:42:18,Bagus
Julia 2021,2,2023-08-31 21:13:11,Kenapa gak bisa di instal aplikasi nya?
By.zahron Hfzh,1,2023-08-31 20:48:27,Tiket vaksin nya kenapa lama adanya.
Aminudin Andres,5,2023-08-31 19:38:01,Mantap
Hazim,5,2023-08-31 18:06:16,Tq
Down chanel,1,2023-08-31 17:25:05,Aplikasi anjingggg login gabisa dasar aplikasi busuk tololll
Jamil Nur,1,2023-08-31 17:23:57,Saya sudah vaksin 3x sy buka di satu sehat akun saya gak bisa di buka
Fachrel Rozy,1,2023-08-31 16:08:30,Gak tau cara klaim vaksinasi dimana
34.Zulfikar Alfiansyah,1,2023-08-31 16:01:12,akun nya udah bener tetep gk bisa masuk.kadang bisa kadang enggak kayak main slot aja tergantung hoki buat masuk
Achmad Saiful,1,2023-08-31 14:08:01,"Form daftar sudah sesuai ktp saja masih gagal ""nik and bord date does not match"", bord date itu kolom apa pak gak jelas"
Yessi Pemalan,1,2023-08-31 14:00:11,Pak....ini gmna ya ko akun satu sehat saya gk bsa di bka ktanya nama gk sesuai nik...
HAIRI NANANCK,5,2023-08-31 13:55:38,Kode verfikasinya ga datang2 sudah dicoba beberapa kali. Mandingan balikan ke apk Peduli aja ga pakai ribet.
Dini Nindya Riska,1,2023-08-31 13:32:59,"Aplikasi milik pemerintah malah zonk gini. Buat masuk ribet, daftar lg gk bisa giliran login bermasalah"
Ai Sumarni,5,2023-08-31 11:54:43,Ok
Taufik Hidayat,1,2023-08-31 11:48:58,Malah ribet
Ghani Mazaya,5,2023-08-31 10:37:38,"Lawak banget masa saya masukin nik gak bisa daftar ,"
F. LAOLY,5,2023-08-31 10:26:47,Mantap 👍
Evanpriya Dinata,1,2023-08-31 09:47:58,Aplikasi error terus
Emang Salasiwa,1,2023-08-31 09:17:02,Saya suda vaksin 1 sampai 2 tpi kok pas masuk di blng belum vaksin
Deni Rizkika Febrianto,1,2023-08-31 08:54:44,Ga berguna blas
Yoyok Murdiyanto,1,2023-08-31 08:45:01,Sdh masukin kode sdh bener tetap aj salah... aplikasi sampah
M.Darwin Srg,1,2023-08-31 08:25:47,"Aplikasi Sangat Buruk. Saya sudah terdaftar di peduli lindungi, eh begitu di update. Malah tidak bisa masuk."
wahyudi wijaya,5,2023-08-31 08:04:44,"Bagaimana cara download sertifikat vaksin , mohon petunjuk nya"
Rahma Aprilia,1,2023-08-31 08:03:45,"Aneh, kode verif sudah benar namun di aplikasi selalu salah, dan disuruh ulangi untuk memasuki kode otp yang benar. Disuruh tunggu 5 menit pas nyoba lagi, kayak gitu lagi. Ngajak ribut atau bagaimana?"
Reihan prabowo,1,2023-08-31 03:11:44,Udah faksin kertasnya hilang malah sekarang aplikasinya bego jadi ilang semua data faksinya yg buat apk gimana tanggung jawabnya sekarang
